title,id,release_date,overview,genres,poster_url,backdrop_url
Togo,606856,2019-12-20,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.","Adventure, Family",https://image.tmdb.org/t/p/w500/wX0QD36a80hxulcizz7tyahYOF8.jpg,https://image.tmdb.org/t/p/w500/2Jr2OBzoLLOYqQWnyN4eicZv0sL.jpg
The Nutcracker and the Four Realms,426543,2018-10-26,"When Clara’s mother leaves her a mysterious gift, she embarks on a journey to four secret realms—where she discovers her greatest strength could change the world.","Fantasy, Adventure, Family",https://image.tmdb.org/t/p/w500/9vPDY8e7YxLwgVum7YZIUJbr4qc.jpg,https://image.tmdb.org/t/p/w500/l2ji4YiNSPBV69WjGBgU0gCvRqy.jpg
Herbie Fully Loaded,11451,2005-06-22,"Maggie Peyton, the new owner of Number 53 - the free-wheelin' Volkswagen bug with a mind of its own - puts the car through its paces on the road to becoming a NASCAR competitor.","Comedy, Family, Adventure, Fantasy, Romance",https://image.tmdb.org/t/p/w500/7lTfTZ8CDfXw09eAv3OOvsbCVgs.jpg,https://image.tmdb.org/t/p/w500/u6qrMY2PIzXwmydmKNHmVDFbjaV.jpg
Young Woman and the Sea,774531,2024-05-31,"This is the extraordinary true story of Trudy Ederle, the first woman to successfully swim the English Channel. Through the steadfast support of her older sister and supportive trainers, she overcame adversity and the animosity of a patriarchal society to rise through the ranks of the Olympic swimming team and complete the 21-mile trek from France to England.","History, Drama",https://image.tmdb.org/t/p/w500/bZlecCuBVvKuarNGvchBwaOsQ3c.jpg,https://image.tmdb.org/t/p/w500/6HpRZeA0JdY5fRgl89KKExsvvwR.jpg
Toy Story 5,1084244,2026-06-17,"Buzz, Woody, Jessie and the rest of the gang's jobs get exponentially harder when they go head to head with an all-new threat to playtime: tech.","Animation, Adventure, Family, Comedy",https://image.tmdb.org/t/p/w500/i4UtdsApMwXQkGD2mBDroJSJZsk.jpg,https://image.tmdb.org/t/p/w500/yCXvf4C9cKnTSOJtuNRGqB0CUFV.jpg
Once Upon a Studio,1139087,2023-09-24,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.","Animation, Family, Fantasy, Comedy",https://image.tmdb.org/t/p/w500/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,https://image.tmdb.org/t/p/w500/8KJMOKyl9rpgb9ELEwhfBMIaTHw.jpg
The Game Plan,13680,2007-09-28,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.","Comedy, Family",https://image.tmdb.org/t/p/w500/fcLFvIqCUrhY96mkSmr3okxaMEw.jpg,https://image.tmdb.org/t/p/w500/eQ74ZXqmcrNAVr5PEkQ9WHf9qVE.jpg
Atlantis: The Lost Empire,10865,2001-06-02,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.","Animation, Family, Adventure, Science Fiction",https://image.tmdb.org/t/p/w500/8fUEFPUTF7kBMuKPiSQHxPvd8EZ.jpg,https://image.tmdb.org/t/p/w500/fYr0fqT9NImOuaN1QgnDHgGh4Ci.jpg
Lilo & Stitch,552524,2025-05-21,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,"Family, Science Fiction, Comedy",https://image.tmdb.org/t/p/w500/3bN675X0K2E5QiAZVChzB5wq90B.jpg,https://image.tmdb.org/t/p/w500/rU1SN7IXbHN1SZO1LZR5KMUYamb.jpg
The Finest Hours,300673,2016-01-27,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,"Action, Drama, History, Thriller",https://image.tmdb.org/t/p/w500/6UG91TJ4DKI6FGdqXZfDBeRZHX8.jpg,https://image.tmdb.org/t/p/w500/soW3KH0OWzTooeXPm624mMfXI0X.jpg
